offer_id,skill_name,skill_level
49,PyTorch,1
49,NumPy,1
49,Pandas,1
50,LLM,3
50,AI,3
50,Docker,3
50,rag,3
50,Kubernetes,3
50,SQL,3
50,Python,3
50,NoSQL,3
50,Java,2
51,Azure,4
51,Spark,3
51,Hadoop,3
51,Machine Learning,3
51,Data Science,3
52,Python,4
52,Computer Vision,3
52,GenAI,3
52,Azure,2
52,GCP,2
53,GenAI,4
53,Machine Learning,4
53,LLM,4
53,Data modeling,4
53,Python,4
53,Data Science,4
53,AWS,3
53,PySpark,3
53,Spark,3
53,Azure,3
54,Data Annotation,5
54,Data Labeling,5
54,Ukrainian,5
54,English,4
54,Machine Learning,3
54,Artificial Intelligence,3
55,TypeScript,3
55,Node.js,3
55,AI,3
55,Python,1
56,Python,2
56,Machine Learning,1
56,AWS,1
56,SQL,1
56,GitHub,1
57,Machine Learning,5
58,English,4
58,AI,4
58,Python,3
58,fastapi,3
58,Langchain,3
58,Langgraph,3
58,CrewAI,3
58,Azure,3
58,Pandas,3
58,.Net,3
59,AI,3
59,Python,3
60,AI/ML,4
60,LLM,4
60,Cloud,4
60,Python,3
60,CI/CD,3
61,C#,3
61,PostgreSQL,3
61,.Net Framework,3
61,Azure,3
61,REST API,3
61,MS SQL,3
61,Python,3
62,Langchain,3
62,Langgraph,3
62,LangFuse,3
62,REST API,3
62,Prompt Engineering,3
62,Docker,2
62,Kubernetes,2
63,Python,4
63,AI,4
63,Machine Learning,2
64,MLOps,3
65,LLM,3
65,AI,3
65,RPA/IPaaS,1
65,JavaScript/Python,1
66,Machine Learning,3
66,DevOps,3
66,Python,3
66,Bash,3
66,CI/CD,3
66,Docker,3
66,Kubernetes,3
66,AWS,3
66,Azure,3
66,Prometheus,3
67,CI/CD,4
67,AI,4
67,Docker,4
67,Kubernetes,4
67,Python,4
68,Architecture,3
68,AI,3
68,Azure,3
68,Software Architecture,3
68,Enterprise Architect,3
69,Polish,Nan
69,English,Nan
69,Deep Learning,5
69,Python,5
69,GenAI,4
69,Azure,4
69,GCP,4
69,Databricks,3
70,Airflow,4
70,Python,4
70,CI/CD,3
70,Spark,3
70,Azure,3
70,Azure ML,2
70,Docker,2
70,ML,2
70,Terraform,2
70,Kubernetes,2
71,Architecture,4
71,Software Development,4
71,Leadership,4
71,Vertex AI,4
71,AI,4
71,Data,3
72,AI,3
72,Docker,3
72,JavaScript,3
72,Python,3
72,CI/CD,1
72,Terraform,1
72,Kubernetes,1
73,AI,4
73,Scrum,3
73,Automatyzacja,3
73,Kanban,3
73,Modelowanie procesów,3
73,Agile,3
74,Machine Learning,5
74,Python,5
74,Data Science,5
74,PySpark,4
74,Azure,3
74,Databricks,3
75,Machine Learning,4
75,Python,3
75,Big Data,1
76,English,4
76,MS Office,2
77,GenAI,3
77,Cloud,3
77,Java,3
77,Python,3
77,MLOps,3
78,VBA,3
78,Data,3
78,Analytics,3
78,Excel APIs,3
78,Python,3
78,Microsoft Office Excel,3
78,Machine Learning,1
79,Machine Learning,5
79,Ukrainian,5
79,CVPR,4
79,ICML,4
79,Artificial Intelligence,4
79,ICLR,4
79,English,4
79,NeurIPS,4
79,ECCV,4
79,Large Language Models,3
80,Python,3
80,Pandas,3
80,NumPy,3
80,SQL,3
80,NLP,1
80,Java,1
80,C#,1
81,AI,3
81,Python,3
82,C/C++,2
82,Graphics APIs: OpenGL / OpenGL ES / EGL / Vulkan,2
82,Python,2
82,Platforms: Android /Linux /Windows / Embedded MCU,2
83,Machine Learning,4
83,Software Development,4
83,Python,4
83,Java,4
83,JavaScript,4
83,C++,4
84,AI,4
84,Sales,3
85,Machine Learning,4
85,Python,4
85,English,4
85,AI,3
85,Microsoft Azure Cloud,1
85,Google Cloud Platform,1
85,AWS,1
86,AI,1
86,Machine Learning,1
87,AI,5
87,Machine Learning,4
87,NLP,4
87,LLM,3
87,Azure,3
87,OpenAI,3
88,Big Data,4
88,ETL,4
88,Data modeling,4
88,Machine Learning,3
88,AI,3
88,Python,3
88,C#,3
88,Cloud,2
89,GCP,4
89,Cloud Adoption Framework,3
89,Cloud Foundation Toolkit,3
90,Business Analysis,5
90,GenAI,4
90,Machine Learning,4
90,NLP,4
90,LLM,4
90,PyTorch,4
90,AI,4
90,AI/ML,4
90,TensorFlow,4
90,Python,4
91,SQL,4
91,Python,4
91,Git,3
91,scikit-learn,3
92,TypeScript,3
92,Express.js,3
92,Scrum,3
92,React,3
92,JavaScript,3
93,Python,5
93,Machine Learning,5
93,TensorFlow,5
93,PyTorch,5
94,AI,4
94,Python,4
94,Git,3
94,PyTorch,3
94,TensorFlow,3
94,Linux,3
94,Keras,3
94,C++,2
94,Docker,2
94,Kubernetes,2
95,Kedro,4
95,Python 3,4
95,CI/CD pipelines,4
95,Spark,4
95,Airflow,1
95,Django,1
95,Docker,1
95,Kubernetes,1
95,Databricks,1
96,CI/CD,4
96,Angular,4
96,Aurelia,4
96,React,4
96,JavaScript,4
96,TypeScript,4
96,AI,1
97,Machine Learning,5
97,AI,5
97,Python,5
97,NumPy,4
97,TensorFlow,4
97,Keras,4
97,jupyther notebook,3
97,scikit-learn,3
97,SciPy,3
97,Pandas,3
98,AI,5
98,Python,5
98,Machine Learning,4
98,LLM,4
98,NumPy,4
98,Pandas,4
98,PyTorch/TensorFlow,4
98,ML/Data Science,4
99,ETL,4
99,SQL,4
99,Python,4
99,Machine Learning,3
100,Machine Learning,4
100,Team Management,4
100,Project Management,4
100,Python,4
100,Generative AI,4
100,Data Science,4
100,Big Data,4
101,Deep Learning,5
101,PyTorch,4
101,TensorFlow,4
101,Python,4
101,SciPy scikit-learn,3
101,MLflow,3
101,Pandas,3
101,OpenCV,3
101,Keras Numpy,3
101,PyVista,1
102,Python,3
102,C#,3
102,.Net,3
102,AI/ML,3
102,TensorFlow,3
102,PyTorch,3
102,R,3
103,Python,4
103,API,4
103,fastapi,4
103,Machine Learning,4
103,Flask,3
103,Django,3
103,TensorFlow,3
103,Docker,3
103,Cloud,3
103,AWS,3
104,n8n,4
104,Make,4
104,Zapier,4
104,Airtable,4
104,REST API,3
105,JavaScript,4
105,TypeScript,4
105,AI,4
105,Node,4
105,React,4
105,Next.js,4
105,MongoDB,4
105,Python,1
105,React Native,1
105,GraphQL,1
106,Python,4
106,JavaScript,4
106,Databricks,4
106,AI,4
106,Machine Learning,4
107,Python,4
107,AI,4
107,Graph databases,3
108,Python,4
108,Apache Spark,4
108,SQL,4
108,Data Science,4
108,Ray,1
108,Deep Learning,1
109,AI,3
109,XML,3
109,NLP,3
109,Deep Learning,3
109,GitHub,2
109,GitLab,2
109,ETL tools,2
110,AI,4
110,.NET C#,4
110,Python,4
110,CI/CD,4
110,Cloud,3
110,DevOps,1
111,English,Nan
111,Java,4
111,NLP,4
111,Python,4
112,English,4
112,TypeScript,3
112,HTML5 / CSS3,3
112,Node.js,3
112,AI,3
112,Docker,3
112,JavaScript,3
113,AI,4
113,AI Voice Agent,4
113,German,4
113,English,3
113,Salesforce,1
114,Airflow,3
114,AI,3
114,Scrum,3
114,Azure,3
114,Kafka,3
114,Python,3
115,NLP,4
115,LLM,4
115,PyTorch,4
115,Python,4
115,MLOps,1
116,AI,4
116,English,4
116,Business Analysis,3
117,Kofax RPA,3
117,ChatGPT,3
117,Python,3
117,R,3
117,SQL,3
117,UI Path,2
117,Blue Prism,2
118,Machine Learning,4
118,Spark,4
118,Hadoop,4
118,Python,4
118,Big Data,4
118,T-SQL,3
118,Hive,3
118,Agile,3
118,SQL,3
118,Scala,1
119,AI,5
119,Machine Learning,4
119,AWS,4
119,NLP,4
119,PyTorch,4
119,Docker,4
119,TensorFlow,4
119,GCP,4
119,Kubernetes,4
119,Python,4
120,ML,4
120,PyTorch,3
120,TensorFlow,3
120,Pandas,3
120,NLP,2
120,Microsoft Azure Cloud,1
120,HugginFace,1
120,OpenCV,1
120,scikit-learn,1
121,PyTorch,3
121,TensorFlow,3
121,Langchain,3
121,LLM,3
121,MLOps,3
121,CI/CD,3
121,AWS,3
121,Azure,3
122,Android,4
122,Kotlin,4
122,Python,4
122,AI,4
123,AI,4
123,ML,4
123,GenAI,4
123,Python,4
123,LLM,4
124,Ansible,4
124,Terraform,4
124,Machine Learning,3
124,Python,3
124,Cloud,3
124,AI,1
124,Data Science,1
125,AI,4
125,ML,4
126,C#,4
126,HTML,4
126,.Net,4
126,CSS,4
126,JavaScript,4
126,Cloud,3
126,RESTful API,3
126,Blazor,1
126,Telerik,1
126,Python,1
127,NLP,4
127,Python,4
127,Git,3
127,SQL,3
128,Machine Learning,3
128,AI,3
128,TensorFlow,3
128,Python,3
129,Python,4
129,SQL,4
129,NoSQL,4
129,Azure,4
129,Apache Spark,4
129,Docker,4
129,Kubernetes,4
129,GenAI,4
129,MySQL,4
130,Python,4
130,rag,3
130,Prompt Engineering,3
130,Langchain,3
130,Langgraph,3
130,Pandas,3
130,Azure,3
131,Git,3
131,Bash,3
131,PyTorch,3
131,AI,3
131,Docker,3
131,Python,3
132,Communication,5
132,Contact with a client,4
132,English,3
132,CRM,2
132,Automation Tools,2
132,AI,2
133,Deep Learning,5
133,PyTorch,4
133,TensorFlow,4
133,Python,4
133,SciPy scikit-learn,3
133,MLflow,3
133,Pandas,3
133,OpenCV,3
133,Keras Numpy,3
133,PyVista,1
134,Docker,3
134,OpenAI API,3
134,MySQL,3
134,Elasticsearch,3
134,RESTful API,3
134,Python,3
134,AI,3
135,Machine Learning,4
135,AWS,4
135,AI,4
135,Python,4
135,Data Science,4
135,LLM,4
135,Docker,3
135,Kubernetes,3
135,GenAI,3
135,Snowflake,1
136,Python,4
136,AWS,3
136,Azure,3
137,AI platform,3
137,Machine Learning,3
137,AI,3
138,Finetuning,5
138,LLM,4
138,AI,3
139,Machine Learning,3
139,Python,3
139,TensorFlow,3
139,PyTorch,3
139,scikit-learn,3
139,Apache Spark,3
139,Hadoop,3
139,Amazon SageMaker,3
139,Google Cloud AI Platform,3
140,AWS,4
140,DevOps,4
140,C#,4
140,AI/ML,4
140,Azure,4
140,GCP,4
140,English,4
140,.Net,4
140,Python,4
140,Kubernetes,3
141,Machine Learning,4
141,LLM,4
141,Cloud,4
141,AI,4
141,Python,4
141,Data Science,4
141,Computer Vision,3
142,English,4
142,Python,4
142,AI,3
142,Machine Learning,3
142,Large Language Model,3
142,Docker,3
142,CI/CD,3
142,Natural Language Processing,1
143,Python,5
143,Microsoft Azure,4
143,AI,4
143,SQL,4
143,DevOps tools,3
144,PyTorch,5
144,TensorFlow,5
144,Python,5
144,C++,3
145,LLM,3
145,Docker,3
145,Kubernetes,3
145,Python,3
146,Machine Learning,5
146,NLP,4
146,Computer Vision,4
146,Python,4
147,Python,5
147,AWS,4
147,AI,4
147,Data Science,4
147,NLP,3
147,LLM,3
147,Docker,3
148,AI,4
148,Python,4
148,LLM,3
148,CI/CD,3
149,NLP,4
149,LLMs,4
149,Python,4
149,AI,3
150,Machine Learning,4
150,Data Science,4
150,math,4
150,Python,3
150,ML OPS,3
150,SQL,3
150,Azure,3
151,Machine Learning,3
151,AI,3
151,Python,3
151,C++,3
151,JavaScript,3
